contenidoId,nombre,tipo,descripcion,duracion,anioEstreno,calificacionPromedio
C001,Inception,Película,Una historia conmovedora sobre la familia y la esperanza.,105,2006,4.2
C002,Titanic,Película,Un thriller policiaco lleno de giros inesperados.,105,2007,4.2
C003,El hoyo,Película,Una comedia ligera para toda la familia.,115,2019,3.4
C004,Intensamente,Película,Drama apasionante con personajes inolvidables.,97,2010,3.2
C005,Parasite,Película,Una aventura épica que desafía los límites del tiempo.,123,2017,4.9
C006,Avatar,Película,"Relato emocionante de amor, pérdida y redención.",147,2023,3.0
C007,Joker,Película,Una sátira brillante sobre la sociedad moderna.,120,2004,3.0
C008,Frozen,Película,Explora el poder de la amistad en tiempos difíciles.,107,2000,4.7
C009,La La Land,Película,Suspenso psicológico que te mantendrá al borde del asiento.,114,2021,4.6
C010,Interstellar,Película,Un viaje lleno de acción por tierras desconocidas.,142,2014,4.9
C011,Dinastía,Serie,Un documental impactante sobre la naturaleza humana.,59,2012,4.7
C012,Dinastía Episodio 1T1,Episodio,Romance adolescente con un giro inesperado.,20,2020,3.7
C013,Dinastía Episodio 2T1,Episodio,Una animación que encantará a niños y adultos.,25,2007,3.3
C014,Dinastía Episodio 1T2,Episodio,Relato distópico sobre el futuro de la humanidad.,22,2015,3.8
C015,Dinastía Episodio 2T2,Episodio,Historia basada en hechos reales que inspira.,23,2000,4.3
C016,Breaking Bad,Serie,Intriga política y traición en cada episodio.,47,2001,4.8
C017,Breaking Bad Episodio 1T1,Episodio,Un clásico reinventado con un enfoque moderno.,23,2023,3.9
C018,Breaking Bad Episodio 2T1,Episodio,Aventura intergaláctica con efectos espectaculares.,39,2012,3.7
C019,Breaking Bad Episodio 1T2,Episodio,Una miniserie que te atrapará desde el primer capítulo.,29,2004,4.7
C020,Breaking Bad Episodio 2T2,Episodio,Explora el misterio detrás de una desaparición.,37,2006,4.5
C021,Stranger Things,Serie,Serie criminal ambientada en los años 80.,40,2007,3.5
C022,Stranger Things Episodio 1T1,Episodio,Drama médico con dilemas éticos complejos.,21,2013,4.4
C023,Stranger Things Episodio 2T1,Episodio,Una historia de superación personal y coraje.,39,2003,4.7
C024,Stranger Things Episodio 1T2,Episodio,Retrato íntimo de una familia disfuncional.,30,2003,4.0
C025,Stranger Things Episodio 2T2,Episodio,Viaje espiritual con un trasfondo filosófico.,37,2007,4.6
C026,The Office,Serie,Una serie juvenil cargada de humor y emociones.,52,2014,4.1
C027,The Office Episodio 1T1,Episodio,Película de ciencia ficción que desafía la lógica.,30,2014,3.8
C028,The Office Episodio 2T1,Episodio,Una reflexión profunda sobre el paso del tiempo.,34,2018,3.9
C029,The Office Episodio 1T2,Episodio,Musical vibrante con números espectaculares.,32,2000,3.7
C030,The Office Episodio 2T2,Episodio,Comedia negra con diálogos afilados e ingeniosos.,31,2005,4.2
C031,Dark,Serie,Un retrato oscuro del crimen organizado.,44,2003,4.0
C032,Dark Episodio 1T1,Episodio,Cine independiente con gran carga emocional.,26,2009,4.9
C033,Dark Episodio 2T1,Episodio,Relato mitológico lleno de magia y criaturas fantásticas.,30,2013,4.1
C034,Dark Episodio 1T2,Episodio,Una historia de venganza con gran intensidad.,28,2015,3.4
C035,Dark Episodio 2T2,Episodio,Romance prohibido que desafía las normas sociales.,33,2016,5.0
